NiO/ZnO,TGS 826,TGS 822,TGS 2600,TGS 2602,ZnO,Cr-doped ZnO,Class
,1.2,,0.66667,0.65217,,,Acetone 1 ppm
,1.2,,0.66667,0.65217,,,Acetone 1 ppm
,1.2,,0.66667,0.65217,,,Acetone 1 ppm
,1.2,,0.6875,0.65217,,,Acetone 1 ppm
,1.2,,0.6875,0.68182,,,Acetone 1 ppm
,1.2,,0.6875,0.68182,,,Acetone 1 ppm
,1.2,,0.6875,0.68182,,,Acetone 1 ppm
,1.2,,0.70968,0.68182,,,Acetone 1 ppm
,1.2,,0.70968,0.68182,,,Acetone 1 ppm
,1.2,,0.70968,0.68182,,,Acetone 1 ppm
,1.2,,0.70968,0.68182,,,Acetone 1 ppm
,1.2,,0.73333,0.68182,,,Acetone 1 ppm
,1.2,,0.73333,0.68182,,,Acetone 1 ppm
,,,0.73333,,,,Acetone 1 ppm
,,,0.73333,,,,Acetone 1 ppm
,,,0.75862,,,,Acetone 1 ppm
,,,0.75862,,,,Acetone 1 ppm
,,,0.75862,,,,Acetone 1 ppm
,,,0.78571,,,,Acetone 1 ppm
,,,0.78571,,,,Acetone 1 ppm
,,,0.81481,,,,Acetone 1 ppm
,,,0.81481,,,,Acetone 1 ppm
,,,0.81481,,,,Acetone 1 ppm
,,,0.81481,,,,Acetone 1 ppm
,,,0.84615,,,,Acetone 1 ppm
,,,0.84615,,,,Acetone 1 ppm
,,,0.84615,,,,Acetone 1 ppm
,,,0.84615,,,,Acetone 1 ppm
,,,0.84615,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.88,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.91667,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
,,,0.95652,,,,Acetone 1 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.91667,0.55556,,,Acetone 5 ppm
0.97738,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97738,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97738,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97738,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97738,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.98003,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.96734,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
